time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:57:48    47.8825;  10.3268;  283.477;
14:57:52    47.8839;  10.3343;  283.484;
14:57:55    47.8842;  10.3357;  283.486;
14:57:58    47.8819;  10.3233;  283.473;
14:58:02    47.8835;  10.3319;  283.482;
14:58:05    47.8845;  10.3378;  283.488;
14:58:09    47.8824;  10.3262;  283.476;
14:58:12    47.8839;  10.3343;  283.484;
14:58:16    47.8842;  10.3359;  283.486;
14:58:19    47.8839;  10.3344;  283.484;
14:58:22    47.8835;  10.332;  283.482;
14:58:26    47.8843;  10.3366;  283.487;
14:58:29    47.8824;  10.3263;  283.476;
14:58:33    47.8857;  10.344;  283.494;
14:58:36    47.8833;  10.3312;  283.481;
14:58:39    47.8836;  10.3325;  283.482;
14:58:43    47.8816;  10.3217;  283.472;
14:58:46    47.8834;  10.3314;  283.481;
14:58:50    47.8841;  10.3353;  283.485;
14:58:53    47.8827;  10.3277;  283.478;
14:58:57    47.8842;  10.3358;  283.486;
14:59:00    47.8838;  10.3337;  283.484;
14:59:03    47.8844;  10.3371;  283.487;
14:59:07    47.8824;  10.3262;  283.476;
14:59:10    47.8831;  10.3296;  283.48;
14:59:14    47.8845;  10.3376;  283.488;
14:59:17    47.8846;  10.3379;  283.488;
14:59:20    47.8829;  10.3287;  283.479;
14:59:24    47.8839;  10.3345;  283.485;
14:59:27    47.884;  10.3346;  283.485;
14:59:31    47.8843;  10.3363;  283.486;
14:59:34    47.8836;  10.3325;  283.482;
14:59:37    47.8848;  10.3392;  283.489;
14:59:41    47.8838;  10.3339;  283.484;
14:59:44    47.8841;  10.3353;  283.485;
14:59:48    47.8875;  10.3543;  283.504;
14:59:51    47.8877;  10.3554;  283.505;
14:59:55    47.8874;  10.3536;  283.504;
14:59:58    47.8873;  10.3528;  283.503;
15:00:01    47.8881;  10.3573;  283.507;
15:00:05    47.8876;  10.3545;  283.505;
15:00:08    47.8858;  10.3448;  283.495;
15:00:12    47.8854;  10.3425;  283.492;
15:00:15    47.887;  10.3514;  283.501;
15:00:18    47.8865;  10.3487;  283.499;
15:00:22    47.8865;  10.3485;  283.498;
15:00:26    47.8864;  10.348;  283.498;
15:00:29    47.8868;  10.3502;  283.5;
15:00:32    47.8862;  10.3468;  283.497;
15:00:36    47.8879;  10.3565;  283.506;
15:00:39    47.8873;  10.3529;  283.503;
15:00:43    47.8853;  10.342;  283.492;
15:00:46    47.8873;  10.3528;  283.503;
15:00:49    47.888;  10.3568;  283.507;
15:00:53    47.8871;  10.3519;  283.502;
15:00:56    47.8873;  10.3528;  283.503;
15:01:00    47.8873;  10.353;  283.503;
15:01:03    47.8859;  10.3453;  283.495;
15:01:06    47.8854;  10.3424;  283.492;
15:01:10    47.887;  10.3511;  283.501;
15:01:13    47.8865;  10.3487;  283.499;
15:01:17    47.8863;  10.3476;  283.498;
15:01:20    47.8866;  10.3489;  283.499;
15:01:23    47.8868;  10.3501;  283.5;
15:01:27    47.8857;  10.3442;  283.494;
15:01:30    47.8858;  10.3445;  283.494;
15:01:34    47.8869;  10.3506;  283.501;
15:01:37    47.8863;  10.3472;  283.497;
15:01:40    47.885;  10.3401;  283.49;
15:01:44    47.8862;  10.3467;  283.497;
15:01:47    47.8872;  10.3525;  283.502;
15:01:51    47.8858;  10.3446;  283.495;
15:01:54    47.8873;  10.3529;  283.503;
15:01:57    47.8857;  10.344;  283.494;
15:02:01    47.8857;  10.3443;  283.494;
15:02:04    47.8856;  10.3434;  283.493;
15:02:08    47.8877;  10.3549;  283.505;
15:02:11    47.8874;  10.3536;  283.504;
15:02:15    47.8852;  10.3413;  283.491;
15:02:18    47.886;  10.3459;  283.496;
15:02:22    47.8874;  10.3534;  283.503;
15:02:25    47.886;  10.3456;  283.496;
15:02:28    47.8863;  10.3472;  283.497;
15:02:32    47.8866;  10.3492;  283.499;
15:02:35    47.8867;  10.3499;  283.5;
15:02:39    47.8862;  10.3471;  283.497;
15:02:42    47.8851;  10.3408;  283.491;
15:02:45    47.8871;  10.3517;  283.502;
15:02:49    47.887;  10.3512;  283.501;
15:02:52    47.8856;  10.3436;  283.494;
15:02:56    47.8885;  10.3593;  283.509;
15:02:59    47.8856;  10.3435;  283.493;
15:03:02    47.8867;  10.3497;  283.5;
15:03:06    47.887;  10.3515;  283.502;
15:03:09    47.8885;  10.3598;  283.51;
15:03:13    47.8863;  10.3475;  283.498;
15:03:16    47.8867;  10.3496;  283.5;
15:03:20    47.8875;  10.3539;  283.504;
15:03:23    47.8877;  10.3552;  283.505;
15:03:27    47.8866;  10.3491;  283.499;
15:03:30    47.8862;  10.3467;  283.497;
15:03:33    47.8869;  10.3509;  283.501;
15:03:37    47.8869;  10.3508;  283.501;
15:03:40    47.8878;  10.3559;  283.506;
15:03:44    47.8875;  10.354;  283.504;
15:03:47    47.8871;  10.3519;  283.502;
15:03:50    47.8867;  10.3495;  283.5;
15:03:54    47.8874;  10.3533;  283.503;
15:03:57    47.8867;  10.3498;  283.5;
15:04:01    47.8872;  10.3526;  283.503;
15:04:04    47.8869;  10.3507;  283.501;
15:04:08    47.8858;  10.3449;  283.495;
15:04:11    47.8878;  10.3558;  283.506;
15:04:15    47.8863;  10.3472;  283.497;
15:04:18    47.8875;  10.3539;  283.504;
15:04:21    47.8881;  10.3575;  283.507;
15:04:25    47.8854;  10.3423;  283.492;
15:04:28    47.8863;  10.3472;  283.497;
15:04:32    47.8878;  10.3555;  283.505;
15:04:35    47.8877;  10.355;  283.505;
15:04:38    47.8875;  10.354;  283.504;
15:04:42    47.8867;  10.3494;  283.499;
15:04:45    47.8866;  10.3492;  283.499;
15:04:49    47.8864;  10.348;  283.498;
15:04:52    47.8871;  10.3517;  283.502;
15:04:56    47.8876;  10.3547;  283.505;
15:04:59    47.887;  10.3511;  283.501;
15:05:02    47.8876;  10.3547;  283.505;
15:05:06    47.8873;  10.3528;  283.503;
15:05:09    47.8869;  10.3508;  283.501;
15:05:13    47.8882;  10.3578;  283.508;
15:05:16    47.8879;  10.3562;  283.506;
15:05:19    47.8872;  10.3525;  283.502;
15:05:23    47.8873;  10.353;  283.503;
15:05:26    47.8886;  10.36;  283.51;
15:05:30    47.8874;  10.3533;  283.503;
15:05:33    47.8871;  10.3516;  283.502;
15:05:36    47.8872;  10.3524;  283.502;
15:05:40    47.8872;  10.3526;  283.503;
15:05:43    47.8864;  10.3478;  283.498;
15:05:47    47.8872;  10.3524;  283.502;
15:05:50    47.8875;  10.3539;  283.504;
15:05:53    47.8862;  10.3468;  283.497;
15:05:57    47.8836;  10.3326;  283.483;
15:06:00    47.8825;  10.3267;  283.477;
15:06:04    47.8834;  10.3316;  283.482;
15:06:07    47.8845;  10.3374;  283.487;
15:06:11    47.8823;  10.3255;  283.476;
15:06:14    47.885;  10.3405;  283.491;
15:06:17    47.8846;  10.3384;  283.488;
15:06:21    47.8837;  10.333;  283.483;
15:06:24    47.885;  10.3405;  283.491;
15:06:28    47.8832;  10.3303;  283.48;
15:06:31    47.8832;  10.3304;  283.48;
15:06:35    47.8841;  10.3351;  283.485;
15:06:38    47.8837;  10.3332;  283.483;
15:06:41    47.8835;  10.3319;  283.482;
15:06:45    47.8842;  10.3358;  283.486;
15:06:48    47.8825;  10.3265;  283.476;
15:06:52    47.8855;  10.3432;  283.493;
15:06:55    47.8836;  10.3324;  283.482;
15:06:58    47.8834;  10.3315;  283.481;
15:07:02    47.8849;  10.3396;  283.49;
