time   Resistance(Ohm);  Temperature('C);  Temperature(K);
14:04:10    47.8859;  10.3452;  283.495;
14:04:13    47.8859;  10.3453;  283.495;
14:04:16    47.8856;  10.3434;  283.493;
14:04:20    47.8862;  10.3467;  283.497;
14:04:23    47.8871;  10.3516;  283.502;
14:04:27    47.8853;  10.3419;  283.492;
14:04:30    47.8857;  10.3439;  283.494;
14:04:33    47.8858;  10.345;  283.495;
14:04:37    47.8861;  10.3466;  283.497;
14:04:40    47.8869;  10.3509;  283.501;
14:04:44    47.8861;  10.3465;  283.496;
14:04:47    47.885;  10.3401;  283.49;
14:04:50    47.8869;  10.3508;  283.501;
14:04:54    47.8865;  10.3485;  283.498;
14:04:57    47.8852;  10.3412;  283.491;
14:05:01    47.8863;  10.3476;  283.498;
14:05:04    47.8861;  10.3461;  283.496;
14:05:08    47.8851;  10.341;  283.491;
14:05:11    47.8849;  10.3396;  283.49;
14:05:14    47.8871;  10.352;  283.502;
14:05:18    47.8861;  10.3462;  283.496;
14:05:21    47.8856;  10.3435;  283.493;
14:05:25    47.8857;  10.344;  283.494;
14:05:28    47.8848;  10.3393;  283.489;
14:05:32    47.8833;  10.3312;  283.481;
14:05:35    47.8861;  10.3465;  283.496;
14:05:38    47.8875;  10.3543;  283.504;
14:05:42    47.8857;  10.3439;  283.494;
14:05:45    47.8867;  10.3495;  283.5;
14:05:49    47.8862;  10.347;  283.497;
14:05:52    47.8866;  10.3494;  283.499;
14:05:55    47.8872;  10.3526;  283.503;
14:05:59    47.8878;  10.3556;  283.506;
14:06:02    47.8852;  10.3416;  283.492;
14:06:06    47.8837;  10.3332;  283.483;
14:06:09    47.8868;  10.3504;  283.5;
14:06:13    47.8864;  10.3481;  283.498;
14:06:16    47.8857;  10.344;  283.494;
14:06:19    47.8872;  10.3522;  283.502;
14:06:23    47.8856;  10.3435;  283.493;
14:06:26    47.8851;  10.3411;  283.491;
14:06:30    47.8866;  10.3491;  283.499;
14:06:33    47.8876;  10.3544;  283.504;
14:06:36    47.8866;  10.3492;  283.499;
14:06:40    47.8871;  10.3517;  283.502;
14:06:43    47.887;  10.351;  283.501;
14:06:47    47.8855;  10.343;  283.493;
14:06:50    47.8859;  10.3451;  283.495;
14:06:53    47.8858;  10.3445;  283.495;
14:06:57    47.8859;  10.3451;  283.495;
14:07:00    47.8857;  10.3439;  283.494;
14:07:04    47.8847;  10.3389;  283.489;
14:07:07    47.8839;  10.3345;  283.484;
14:07:11    47.8856;  10.3436;  283.494;
14:07:14    47.8851;  10.3406;  283.491;
14:07:17    47.8864;  10.3482;  283.498;
14:07:21    47.8861;  10.3464;  283.496;
14:07:24    47.8865;  10.3484;  283.498;
14:07:28    47.8849;  10.3396;  283.49;
14:07:31    47.8868;  10.3501;  283.5;
14:07:35    47.8873;  10.353;  283.503;
14:07:38    47.886;  10.346;  283.496;
14:07:41    47.8849;  10.34;  283.49;
14:07:45    47.885;  10.3404;  283.49;
14:07:48    47.8857;  10.3441;  283.494;
14:07:52    47.886;  10.3457;  283.496;
14:07:55    47.8861;  10.3465;  283.497;
14:07:59    47.8836;  10.3325;  283.483;
14:08:02    47.8867;  10.3495;  283.5;
14:08:05    47.8866;  10.349;  283.499;
14:08:09    47.8845;  10.3378;  283.488;
14:08:12    47.8865;  10.3488;  283.499;
14:08:15    47.8858;  10.3445;  283.495;
14:08:19    47.8855;  10.343;  283.493;
14:08:22    47.8882;  10.3579;  283.508;
14:08:26    47.8884;  10.3592;  283.509;
14:08:29    47.8875;  10.3541;  283.504;
14:08:33    47.8865;  10.3485;  283.499;
14:08:36    47.8879;  10.3561;  283.506;
14:08:40    47.8855;  10.3433;  283.493;
14:08:43    47.8871;  10.3516;  283.502;
14:08:46    47.8871;  10.3518;  283.502;
14:08:50    47.8886;  10.3598;  283.51;
14:08:53    47.887;  10.3512;  283.501;
14:08:57    47.8881;  10.3576;  283.508;
14:09:00    47.8874;  10.3534;  283.503;
14:09:03    47.8859;  10.3452;  283.495;
14:09:07    47.8873;  10.3527;  283.503;
14:09:10    47.8852;  10.3415;  283.491;
14:09:14    47.8875;  10.3538;  283.504;
14:09:17    47.8865;  10.3487;  283.499;
14:09:21    47.8863;  10.3473;  283.497;
14:09:24    47.8867;  10.3494;  283.499;
14:09:27    47.8871;  10.3521;  283.502;
14:09:31    47.8857;  10.344;  283.494;
14:09:34    47.8865;  10.3487;  283.499;
14:09:38    47.8878;  10.356;  283.506;
14:09:41    47.8866;  10.3493;  283.499;
14:09:44    47.8865;  10.3488;  283.499;
14:09:48    47.8878;  10.3555;  283.506;
14:09:51    47.8865;  10.3483;  283.498;
14:09:55    47.8877;  10.3551;  283.505;
14:09:58    47.8853;  10.342;  283.492;
14:10:02    47.8872;  10.3521;  283.502;
14:10:05    47.887;  10.3511;  283.501;
14:10:09    47.8876;  10.3545;  283.505;
14:10:12    47.8864;  10.3482;  283.498;
14:10:15    47.8858;  10.3449;  283.495;
14:10:19    47.8865;  10.3485;  283.499;
14:10:22    47.8876;  10.3547;  283.505;
14:10:26    47.8864;  10.3478;  283.498;
14:10:29    47.8855;  10.3428;  283.493;
14:10:32    47.8857;  10.3441;  283.494;
14:10:36    47.8848;  10.339;  283.489;
14:10:39    47.8864;  10.348;  283.498;
14:10:43    47.8887;  10.3609;  283.511;
14:10:46    47.8868;  10.3501;  283.5;
14:10:50    47.8873;  10.3531;  283.503;
14:10:53    47.8875;  10.3542;  283.504;
14:10:56    47.8864;  10.3482;  283.498;
14:11:00    47.8882;  10.3578;  283.508;
14:11:03    47.8874;  10.3534;  283.503;
14:11:07    47.8875;  10.354;  283.504;
14:11:10    47.8885;  10.3597;  283.51;
14:11:13    47.8863;  10.3472;  283.497;
14:11:17    47.8874;  10.3535;  283.504;
14:11:20    47.8881;  10.3576;  283.508;
14:11:24    47.8876;  10.3546;  283.505;
14:11:27    47.8873;  10.353;  283.503;
14:11:31    47.8868;  10.3504;  283.5;
14:11:34    47.8859;  10.345;  283.495;
14:11:37    47.8867;  10.3494;  283.499;
14:11:41    47.8874;  10.3536;  283.504;
14:11:44    47.8849;  10.3397;  283.49;
14:11:48    47.8854;  10.3423;  283.492;
